left_sum,right_sum,kef1,kef2,min_win
83094.39,234677.56,3.56,1.32,True
9814.88,10283.99,1.95,1.86,False
1642.55,1029.92,1.57,2.44,False
16072.24,11101.64,1.62,2.31,True
370.25,125.76,1.31,3.66,True
647.8,735.06,2.03,1.8,False
237.49,168.59,1.64,2.27,True
134626.75,14534.15,1.1,9.38,False
168367.61,332438.0,2.79,1.46,False
332.0,216.21,1.59,2.39,True
222307.06,132680.98,1.54,2.52,False
772.46,730.0,1.86,1.96,True
167746.96,120454.57,1.65,2.26,True
1826.97,1045.44,1.52,2.58,True
70449.43,90928.09,2.17,1.7,True
7568.91,18636.32,3.23,1.37,True
65282.75,23298.88,1.32,3.54,True
69175.17,41252.9,1.54,2.52,False
90827.86,320140.56,4.19,1.26,True
188993.52,23685.37,1.11,8.22,True
960525.11,1196581.0,2.13,1.73,False
613631.66,728402.17,2.07,1.76,False
118544.25,117190.63,1.89,1.92,True
58847.49,106036.51,2.63,1.5,False
815273.68,403279.68,1.45,2.83,False
131712.03,244106.87,2.68,1.49,True
44481.78,70315.56,2.43,1.57,True
118169.58,135893.99,2.04,1.79,False
218678.16,23398.98,1.1,9.46,True
12529.47,104211.52,8.53,1.11,True
81153.38,73640.38,1.82,2.0,False
89668.09,48151.32,1.49,2.68,False
99663.79,222263.38,3.02,1.41,True
129710.29,63578.09,1.44,2.85,True
430.56,1006.83,3.12,1.39,True
1420.35,5530.36,4.52,1.23,True
17000.0,3464.99,1.18,5.44,True
1272.53,2505.33,2.78,1.46,True
8666.22,2597.99,1.27,4.02,True
8050.31,36104.53,5.06,1.2,True
128.0,439.0,4.1,1.26,True
10.0,1.0,1.09,10.05,False
48594.32,31079.5,1.58,2.41,True
4009.31,775.62,1.18,5.68,True
1335.89,1255.67,1.85,1.96,False
5671.37,3608.39,1.58,2.42,True
2060.13,2214.46,1.97,1.84,True
1343.53,278.33,1.19,5.37,False
2228.0,855.7,1.35,3.36,True
8453.73,2574.63,1.28,3.97,True
9147.38,4305.94,1.43,2.92,False
547.64,1011.0,2.67,1.49,False
58959.19,54349.88,1.83,1.98,False
453.0,95.0,1.19,5.31,True
2.0,5.0,3.26,1.36,True
539.36,1382.82,3.32,1.35,False
73318.65,164198.67,3.03,1.4,False
1115.0,213.91,1.17,5.72,False
22900.85,30030.61,2.19,1.69,False
2013.13,658.82,1.3,3.76,True
1971.01,6250.61,3.87,1.29,True
2551.0,2164.24,1.77,2.07,True
1041.0,304.0,1.26,4.1,False
2647.0,1434.86,1.49,2.67,False
1302.76,2141.0,2.49,1.55,False
3372.86,1797.1,1.48,2.7,False
2156.0,772.48,1.32,3.53,False
8743.13,8819.95,1.91,1.9,False
1430.95,1238.64,1.78,2.05,True
5133.4,4843.77,1.85,1.96,True
9452.37,9057.54,1.87,1.94,True
962.04,1976.36,2.86,1.44,False
1514.38,2242.42,2.34,1.61,True
53493.39,35636.12,1.6,2.36,True
1195.25,783.0,1.59,2.38,True
5336.57,6149.42,2.04,1.79,False
10728.06,13550.84,2.14,1.72,True
7382.96,2979.05,1.37,3.24,False
7796.04,4729.73,1.55,2.49,False
11099.01,6239.79,1.51,2.61,True
352.0,243.0,1.62,2.31,True
3422.02,1458.03,1.39,3.12,False
2578.15,3472.07,2.22,1.67,False
2262.0,1989.0,1.8,2.03,False
336497.0,181139.75,1.49,2.68,False
496.01,449.77,1.82,2.0,False
458618.12,791.99,1.0,524.94,False
12285.38,1717.88,1.13,7.47,True
61.69,20.0,1.29,3.79,True
495.58,796.49,2.45,1.56,False
3145230.07,8910703.54,3.56,1.32,True
8.0,5.0,1.57,2.45,True
163.0,111.0,1.62,2.33,True
201.0,292.24,2.32,1.62,True
1928168.74,7999753.19,4.75,1.22,True
540.0,142.49,1.24,4.43,True
5.0,1.0,1.18,5.52,False
8759.45,5321.0,1.55,2.49,False
2205.71,930.94,1.38,3.14,False
8636.75,14700.45,2.54,1.53,True
53.24,161.38,3.74,1.3,True
18716.49,100343.36,5.85,1.17,False
285.24,1200.61,4.81,1.21,True
94.41,482.33,5.62,1.18,True
4471331.98,1107539.36,1.22,4.65,True
342.0,452.58,2.2,1.68,True
347.54,220.0,1.57,2.43,False
37.69,8.0,1.19,5.26,False
4906.41,6254.5,2.15,1.71,True
351712.97,527987.0,2.36,1.6,False
3050.0,1919.22,1.57,2.44,False
71.0,150.0,2.91,1.43,False
6219.41,2476.49,1.36,3.27,False
9921.87,47412.63,5.32,1.19,True
917.33,843.88,1.83,1.98,True
4437.91,949.67,1.19,5.23,False
5.0,5.0,1.9,1.9,False
334.0,276.0,1.75,2.09,True
253078.87,67969.26,1.24,4.37,True
5.0,5.0,1.9,1.9,False
17306.43,8252.0,1.43,2.9,False
161.6,187.0,2.05,1.78,True
692658.66,826432.82,2.08,1.76,True
6645.28,4746.49,1.65,2.27,False
2971.01,4454.61,2.36,1.6,True
619.2,484.33,1.71,2.16,True
700.14,511.0,1.66,2.24,True
3287615.95,750939.68,1.21,4.96,True
2406.3,2810.44,2.06,1.77,True
103809.31,41840.17,1.36,3.24,True
248.52,620.0,3.26,1.36,True
1552.0,18949.17,12.05,1.07,True
325.93,41936.74,117.42,1.01,False
649.0,1092.0,2.52,1.54,True
1043.0,1330.95,2.15,1.71,True
2575.89,5415.96,2.9,1.43,True
684.8,1079.0,2.43,1.57,True
15599.71,166554.01,10.66,1.08,True
52216.52,107205.53,2.86,1.44,True
1924.02,6838.14,4.22,1.25,False
214798.52,357689.68,2.51,1.54,True
3622.29,2263.92,1.57,2.45,False
3544.58,1323.55,1.34,3.42,True
3255.0,4396.42,2.22,1.67,True
4498.0,6736.14,2.36,1.6,False
7546.47,7152.0,1.86,1.95,True
2800.0,4231.64,2.37,1.6,False
407191.1,1084325.08,3.41,1.34,True
5094.93,3471.0,1.62,2.33,True
1359.21,1816.58,2.21,1.68,False
1151909.01,1001087.09,1.79,2.04,False
70666.56,33000.54,1.42,2.94,True
41.09,651.0,15.33,1.06,True
258.0,2503.74,9.78,1.09,True
5.0,1.0,1.18,5.52,True
109209.0,8135.2,1.07,13.15,False
25.0,6.0,1.22,4.77,True
54.0,168.0,3.81,1.29,True
1282.91,1028.62,1.73,2.13,False
1458.98,3412.27,3.12,1.39,True
23617.19,118705.1,5.55,1.18,True
2003.68,50.0,1.02,37.26,False
25858.96,9673.64,1.34,3.42,True
36.22,38.0,1.95,1.86,True
780.94,277.0,1.32,3.55,True
1633636.55,157353.35,1.09,10.39,True
4843.84,4441.19,1.83,1.99,False
5380.85,6389.77,2.07,1.76,False
1505.67,708.27,1.43,2.92,True
619.73,295.7,1.43,2.9,True
2733.04,522.0,1.17,5.74,True
1580318.27,956013.43,1.55,2.5,True
21056.49,7914.37,1.34,3.41,True
665279.39,180428.69,1.25,4.34,True
21625.0,11178.5,1.47,2.75,False
20013.93,914.35,1.04,20.8,True
5.0,9.3,2.68,1.49,True
9.3,5.0,1.49,2.68,True
5.0,9.3,2.68,1.49,True
2.0,12.95,6.86,1.14,True
23168.36,5414.02,1.21,4.87,False
933.31,1470.97,2.43,1.57,False
24030.99,54807.72,3.06,1.4,True
6902.0,23322.17,4.06,1.27,True
15167.4,1579.07,1.09,9.69,True
62.0,62.0,1.9,1.9,False
2202275.32,675349.56,1.28,3.95,True
24.0,68.0,3.56,1.32,True
2760.96,5063.91,2.66,1.49,True
2442.13,2082.2,1.77,2.06,True
5630.93,3004.63,1.48,2.7,False
2849.78,6127.98,2.95,1.42,False
3322.28,3637.65,1.99,1.83,True
4549578.66,499069.06,1.1,9.25,False
1247.17,1384.21,2.0,1.82,True
47913.31,28002.64,1.53,2.55,False
15013.72,33337.27,3.01,1.41,False
134863.6,411.39,1.0,297.62,False
1353.48,18533.45,13.39,1.07,False
2403.46,128932.7,49.54,1.02,False
60.57,6.0,1.09,10.13,False
1040.45,4475.37,4.89,1.21,True
3822.19,1525.13,1.36,3.27,False
204085.41,96919.39,1.43,2.91,True
1433.65,2653.71,2.67,1.49,False
26075.14,25771.03,1.89,1.92,True
30465.78,151480.0,5.5,1.18,True
1129.18,4096.37,4.28,1.25,False
807032.61,135048.3,1.15,6.41,True
3633.64,2474.0,1.62,2.33,True
34969.12,1985.7,1.05,16.93,True
763.19,2236.07,3.65,1.31,True
451267.0,370068.18,1.74,2.1,True
497.19,1081.11,2.97,1.42,True
726.16,2034.0,3.53,1.32,False
36029.13,32878.08,1.83,1.99,True
2.0,9.0,5.07,1.2,True
1500.0,672.19,1.41,3.02,True
20658.43,18876.76,1.83,1.99,False
572.78,663.0,2.05,1.78,True
2500.0,3625.41,2.31,1.62,False
2257929.67,489475.65,1.2,5.17,True
3713.77,2250.0,1.55,2.49,False
4861.98,4117.37,1.77,2.07,False
5512.95,2582.16,1.42,2.93,False
148419.64,181688.31,2.11,1.74,False
7829.27,5284.26,1.61,2.34,True
196.63,191.63,1.88,1.93,True
1850.0,191.86,1.09,9.72,True
6822.96,5334.44,1.71,2.16,True
1299.16,2606.96,2.82,1.45,True
3632.48,1494.9,1.37,3.2,False
224.83,1315.89,6.3,1.15,True
21132.15,2992.38,1.13,7.39,True
2.0,5.0,3.26,1.36,False
2131.8,5585.0,3.37,1.35,True
107360.34,21944.21,1.18,5.43,True
2136.24,3401.0,2.44,1.57,False
3759.63,1721.67,1.41,2.98,True
1066551.22,217742.53,1.18,5.43,False
13.0,11.0,1.77,2.07,True
73.0,49.0,1.61,2.35,True
1050.0,2356.35,3.03,1.4,True
2801.0,3939.76,2.27,1.64,False
808.26,222.98,1.25,4.28,True
209815.01,404385.49,2.74,1.47,False
153.48,338.15,2.99,1.41,False
4560.63,3594.91,1.71,2.15,False
3386.15,1078.81,1.29,3.84,True
301198.57,436117.89,2.31,1.62,True
99.52,106.0,1.96,1.85,False
2.0,5.0,3.26,1.36,True
1.0,5.0,5.52,1.18,False
124977.05,55902.18,1.4,3.02,False
50053.26,32402.65,1.59,2.4,True
4831.54,9664.09,2.81,1.45,True
21898.49,13962.17,1.58,2.42,True
3928.94,1048.92,1.24,4.39,True
39600.72,5464.37,1.12,7.56,False
739.79,1298.0,2.59,1.52,False
187.72,288.0,2.39,1.59,True
5836.78,465.0,1.07,12.36,True
31522.3,173371.11,5.98,1.16,False
36.53,150.34,4.72,1.22,True
24562.48,28769.78,2.06,1.77,True
802.05,415.47,1.47,2.75,True
26342.65,18329.98,1.63,2.3,True
5030.04,1895.85,1.34,3.4,False
26444.34,2496.13,1.09,10.59,True
44127.32,103559.36,3.12,1.39,False
7.0,1.0,1.13,7.33,True
386197.0,64613.05,1.15,6.41,False
353417.16,90180.89,1.23,4.55,True
2000.0,1587.96,1.72,2.14,True
5.0,5.0,1.9,1.9,False
5.0,5.0,1.9,1.9,False
115952.35,25353.28,1.2,5.14,True
8047.47,7030.31,1.79,2.04,True
2687.05,19715.49,7.64,1.12,False
5559.87,2886.81,1.47,2.74,False
240.19,909.29,4.43,1.24,False
1687947.0,326688.97,1.18,5.67,False
9085.81,16016.0,2.59,1.51,False
1241.99,917.0,1.67,2.23,False
907.95,920.0,1.92,1.89,False
1304.35,2803.24,2.94,1.42,True
3904.0,5344.98,2.24,1.66,False
1441.0,1392.0,1.87,1.94,True
17352.6,10820.05,1.56,2.45,False
7136.11,19667.09,3.49,1.33,True
791401.02,503798.62,1.58,2.42,True
8258.68,4758.07,1.52,2.57,True
27970.06,51425.96,2.66,1.49,True
2430.84,134.59,1.05,17.34,True
741.55,2203.0,3.69,1.3,True
398.28,5212.02,12.84,1.07,True
51883.89,1300166.16,23.67,1.04,False
233952.68,440037.32,2.7,1.48,True
53.21,90.0,2.53,1.53,False
10145.34,3494.54,1.31,3.63,True
10027.44,1202108.34,109.47,1.01,True
21472.85,18573.52,1.78,2.05,False
33680.26,16775.61,1.45,2.82,False
663.92,2048.56,3.79,1.29,True
2218.91,975.67,1.4,3.06,True
1482.16,1872.85,2.14,1.72,False
100.0,40.27,1.36,3.25,True
18611.39,11674.35,1.57,2.44,True
228.19,85.0,1.34,3.43,True
5727.62,2590.15,1.41,3.0,True
2.0,4.0,2.81,1.45,False
117025.72,47841.96,1.37,3.21,True
50105.72,39362.23,1.71,2.15,False
32.0,34.0,1.96,1.85,False
2110.0,1018.24,1.44,2.87,True
101595.94,59018.28,1.53,2.56,False
209664.77,274470.21,2.18,1.69,False
6913.92,4651.04,1.61,2.35,False
13335.82,18984.4,2.29,1.64,True
75626.64,177045.23,3.12,1.39,False
328596.46,806693.4,3.22,1.37,True
2050.0,17.29,1.01,108.28,True
10.0,65.0,6.88,1.14,True
2156.25,1435.36,1.6,2.36,True
5673.89,320000.0,52.03,1.02,True
200.58,2035.0,10.18,1.09,False
10637.48,360108.05,31.63,1.03,True
28075.59,4199.45,1.14,7.05,True
14.33,2.0,1.13,7.48,True
31.0,258.98,8.56,1.11,True
975.04,25663.06,24.81,1.03,True
1500.12,3600.0,3.17,1.38,True
1992.71,13982.92,7.35,1.13,True
84.32,34.64,1.37,3.2,True
659.0,438.88,1.6,2.36,True
1670.44,875.8,1.47,2.73,False
833.78,619.0,1.67,2.22,False
575.4,256.61,1.4,3.03,False
652.62,538.4,1.75,2.1,False
2081.79,710.58,1.31,3.65,True
52215.44,28089.46,1.49,2.68,True
5097.21,813.61,1.14,6.67,True
26263.73,11060.42,1.38,3.15,False
14484.26,7487.99,1.47,2.75,False
2198.46,603.83,1.25,4.29,True
629.27,456.05,1.66,2.25,False
196.48,61.32,1.28,3.9,True
8036.64,2657.31,1.3,3.74,False
493.8,614.48,2.13,1.73,True
352.18,426.48,2.1,1.75,True
6186.62,2922.29,1.43,2.92,False
51337.39,81088.47,2.43,1.57,True
1140.0,2409.09,2.91,1.43,True
21306.0,23444.75,2.0,1.82,True
576366.93,222158.13,1.35,3.35,True
3952.25,4296.98,1.98,1.83,True
29259.88,42331.14,2.31,1.63,True
61728.39,1000110.0,15.66,1.06,True
31207.06,3158.65,1.09,9.94,True
49450.0,2251.57,1.04,20.87,True
139778.14,4872.95,1.03,26.95,True
13045.66,8887.32,1.62,2.33,False
31522.17,4455.23,1.13,7.4,True
2131.83,215.13,1.09,9.97,True
12.0,115.35,9.7,1.09,True
1748.93,76693.59,40.68,1.02,True
60097.33,41943.42,1.63,2.3,True
118.0,28.35,1.22,4.77,False
79.0,118.0,2.35,1.61,True
1.0,7.0,7.33,1.13,True
109.0,38.0,1.32,3.6,False
411.99,51.35,1.11,8.26,True
44582.53,19949.95,1.4,3.02,False
4334.61,1239.35,1.26,4.16,True
2698.25,909.93,1.31,3.68,False
518585.09,1992484.31,4.48,1.24,True
16366.43,18035.86,2.0,1.82,True
719.28,729.33,1.92,1.89,True
591910.67,228740.64,1.35,3.34,True
4340.06,3808.14,1.79,2.03,True
1514935.0,1379987.67,1.82,1.99,False
7711.89,6629.12,1.78,2.05,True
327240.38,699170.18,2.93,1.42,False
1766816.36,533590.15,1.27,4.0,True
25339.96,3603.0,1.13,7.36,True
2074.87,13112.45,6.72,1.14,True
4633.59,4403.68,1.86,1.95,False
198.94,6.0,1.03,31.0,True
1189.18,152500.34,117.03,1.01,True
136640.94,3667.33,1.02,34.71,True
1778.77,5584.09,3.84,1.29,True
96.36,29.0,1.27,4.01,True
6384.72,83186.09,12.79,1.07,True
1281557.17,1210557.43,1.85,1.96,True
6676.69,19640.38,3.66,1.31,True
8732.14,4438.96,1.46,2.78,False
13654.58,4355.84,1.29,3.84,True
652806.2,2811980.91,4.9,1.21,True
1634.89,583.21,1.32,3.54,False
212.09,1867.57,8.97,1.1,False
9204.39,5516.05,1.54,2.51,True
6303.34,16958.83,3.43,1.34,True
713543.09,151349.65,1.19,5.27,True
20749.48,26884.3,2.17,1.7,False
513164.37,1075775.19,2.9,1.43,True
795402.0,216439.57,1.25,4.33,True
1437.55,273.3,1.17,5.76,True
3209.28,1541.88,1.43,2.88,True
14748.66,3001.0,1.18,5.45,True
77835.09,4091.49,1.05,18.21,True
209520.6,132556.48,1.57,2.43,False
13366.9,1906.46,1.13,7.34,True
271042.64,157695.29,1.53,2.56,False
118652.87,28507.92,1.22,4.77,True
601201.0,138755.76,1.21,4.92,True
7.3,100.0,13.39,1.07,False
2444.85,1142.39,1.42,2.94,True
10.0,6.0,1.54,2.51,False
784.0,1767.21,3.04,1.4,True
656172.13,49268.33,1.07,13.05,True
303901.56,496114.67,2.48,1.55,True
613769.54,174344.01,1.26,4.19,True
1995.0,427.71,1.19,5.22,True
1919.26,745.47,1.35,3.33,True
175.3,201.0,2.04,1.79,False
582798.75,78081.62,1.12,7.75,True
17.81,1256.18,64.82,1.01,True
1933.65,26569.45,13.43,1.07,True
2592.22,377.47,1.13,7.21,True
387.81,1146.27,3.67,1.31,True
328507.75,226632.6,1.62,2.31,False
135992.95,74582.3,1.5,2.65,True
89.0,350.77,4.57,1.23,True
6495.0,2955.35,1.41,2.99,False
74.07,3.0,1.04,23.34,True
2.0,8.0,4.62,1.23,False
193.1,172.93,1.81,2.01,False
369088.35,127402.51,1.31,3.62,False
646141.91,243177.9,1.34,3.4,False
34737.47,15262.57,1.4,3.06,True
163.51,72.27,1.4,3.05,True
2314.62,7137.47,3.79,1.29,True
2372.57,4466.93,2.7,1.48,True
2845.41,2768.28,1.88,1.93,False
1513.8,1679.0,2.0,1.82,True
95.65,20.28,1.19,5.27,True
8.0,10.0,2.13,1.72,True
650576.07,290614.38,1.4,3.03,True
730018.2,1093622.63,2.36,1.6,False
44280.4,56540.12,2.16,1.71,False
13052.71,21036.7,2.46,1.56,True
55169.11,3387.86,1.06,15.73,True
72.9,1506.0,19.69,1.04,False
26.29,16.0,1.55,2.49,True
20799.75,3464.11,1.15,6.43,False
2982.67,905.78,1.27,3.98,True
20.0,2.0,1.09,10.05,False
193.9,1651.17,8.7,1.11,True
14013.45,9062.16,1.59,2.4,True
528.74,1597.12,3.73,1.3,False
23.0,19.22,1.76,2.08,True
304210.8,1008349.33,4.0,1.27,True
142838.07,104513.8,1.66,2.24,True
810.46,340.08,1.38,3.16,True
997859.61,468497.07,1.42,2.93,True
52307.05,2828.43,1.05,17.73,True
22.0,10.0,1.41,2.99,False
520935.8,156097.6,1.27,4.02,True
89695.06,3012.24,1.03,27.94,True
1024075.86,1085984.35,1.96,1.85,True
3070.36,420.57,1.12,7.61,True
55.29,153.0,3.5,1.33,True
6.0,31.0,5.67,1.18,True
1473.24,539.97,1.33,3.47,False
61200.94,266993.82,4.95,1.21,False
350.87,1436.5,4.7,1.22,True
325494.74,193162.29,1.54,2.52,False
586013.49,1243890.79,2.92,1.43,True
891590.14,947259.89,1.96,1.85,False
1618.33,518.8,1.29,3.82,True
5059.93,5853.93,2.05,1.78,False
111.09,127.3,2.04,1.79,True
1559177.86,2130698.59,2.24,1.66,True
1241993.48,277535.04,1.2,5.05,True
3155.81,954.2,1.27,3.99,True
603.32,166.62,1.25,4.28,True
734.05,1234.01,2.52,1.54,False
61.0,106.0,2.57,1.52,False
3873.05,4477.72,2.05,1.78,True
27.3,62.0,3.05,1.4,True
231580.78,547678.8,3.14,1.38,True
690939.28,1022180.54,2.34,1.61,False
1696.31,252.37,1.13,7.08,True
3021.74,2817.74,1.84,1.97,False
1549.67,9331.26,6.45,1.15,True
38501.91,371755.87,9.74,1.09,False
53257.88,7528.88,1.13,7.4,False
36206.71,68122.83,2.7,1.48,False
7461.0,24546.34,3.98,1.28,True
10016.02,1835.53,1.17,5.94,True
8820.06,6559.05,1.67,2.22,True
2635.85,2923.35,2.0,1.82,False
3262.71,3608.28,2.0,1.82,False
2670.39,1678.24,1.57,2.44,False
335130.42,66572.56,1.18,5.55,True
1539848.23,833885.85,1.49,2.67,False
18829.75,7122.73,1.34,3.39,True
10676.17,8918.13,1.76,2.08,False
787.45,687.3,1.79,2.04,False
17011.56,5077.67,1.27,4.03,True
749928.96,462193.69,1.56,2.47,True
3846.53,5048.33,2.19,1.69,False
19318.22,12984.28,1.61,2.35,True
309021.19,66725.5,1.2,5.19,True
51530.02,49160.32,1.86,1.95,False
880436.43,1515786.67,2.56,1.53,True
13857.56,19955.66,2.3,1.63,True
303.0,140.39,1.42,2.95,False
3429.69,1116.9,1.29,3.78,True
316.3,247606.32,709.3,1.0,False
34475.05,3334.21,1.09,10.36,True
2324.95,69080.0,27.88,1.03,True
818.72,1668.48,2.84,1.44,False
37279.94,3161.25,1.08,11.67,True
692.33,211.0,1.28,3.97,True
1.0,10.0,10.05,1.09,True
164.99,1110.0,7.09,1.13,True
6.0,10.0,2.51,1.54,False
322.62,1.0,1.0,292.91,False
1860.61,4249.83,3.07,1.4,False
481.33,334.96,1.63,2.3,True
6231.24,10.0,1.0,564.8,False
648.8,1057.73,2.48,1.55,False
1607.64,533.66,1.3,3.73,True
